                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2953,                 5.7359,                 2.6619,                0.69469,                0.45542,                0.49504,                 0.2208,                 2.0276,                  1.766,                 1.5465,              0.0006652,              0.0006652,              0.0006652
                      2,                 1.9959,                 1.4644,                 1.4014,                0.77296,                0.47619,                0.56831,                0.30274,                 1.7399,                 1.1726,                 1.3123,              0.0013187,              0.0013187,              0.0013187
                      3,                 1.7752,                 1.2106,                 1.2842,                0.80912,                0.51266,                0.61299,                0.33562,                   1.57,                 1.0897,                 1.2372,               0.001959,               0.001959,               0.001959
                      4,                 1.6413,                 1.0909,                 1.2142,                0.83893,                0.56115,                0.66755,                0.39358,                 1.4346,                0.98093,                 1.1796,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5425,                 1.0131,                 1.1672,                0.82539,                0.54255,                0.65721,                0.38784,                 1.4384,                0.96164,                 1.1595,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5022,                0.98806,                 1.1537,                0.87964,                0.55572,                 0.6874,                0.43177,                 1.2997,                 0.9216,                 1.1244,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4305,                0.92117,                 1.1195,                0.84553,                0.60449,                0.72001,                0.44436,                  1.328,                0.89448,                  1.124,               0.001901,               0.001901,               0.001901
                      8,                 1.3964,                0.91213,                 1.1042,                0.84826,                0.58848,                0.70297,                 0.4388,                 1.2966,                0.87061,                 1.1185,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3903,                0.90274,                 1.1165,                0.82349,                0.61291,                0.72624,                 0.4689,                 1.2203,                0.81639,                 1.0906,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3458,                0.85857,                 1.0849,                0.83653,                0.60403,                0.72631,                0.45303,                 1.2424,                 0.8209,                 1.0923,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3423,                 0.8655,                 1.0832,                0.82636,                0.63644,                0.73899,                0.47212,                 1.2109,                0.79484,                 1.0801,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3203,                0.82965,                 1.0736,                0.84893,                0.64049,                0.74522,                0.48389,                 1.1941,                0.82195,                 1.0775,               0.001802,               0.001802,               0.001802
                     13,                 1.2927,                0.82362,                  1.067,                0.85311,                0.65318,                0.75435,                 0.5042,                 1.1309,                0.75287,                 1.0627,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2789,                  0.813,                 1.0656,                0.84329,                0.65856,                 0.7673,                0.50334,                  1.138,                0.74101,                 1.0585,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2395,                0.78472,                 1.0554,                0.86049,                0.65755,                0.77827,                0.50289,                 1.1505,                0.74668,                 1.0673,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2312,                0.79019,                 1.0575,                0.84303,                0.67837,                0.77735,                0.50624,                 1.1421,                0.74956,                 1.0583,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2534,                0.78698,                 1.0518,                0.84734,                0.68794,                0.79181,                0.51361,                 1.1409,                0.71807,                 1.0568,               0.001703,               0.001703,               0.001703
                     18,                 1.2289,                0.78288,                 1.0574,                0.84365,                0.67393,                0.78447,                0.50706,                 1.1406,                0.72666,                 1.0455,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2275,                0.77697,                 1.0509,                0.86237,                0.67511,                0.79629,                0.51961,                 1.0938,                0.69974,                  1.045,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2268,                0.77356,                 1.0496,                  0.864,                0.68693,                0.80054,                0.52177,                  1.142,                0.68571,                 1.0396,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1991,                0.74015,                 1.0354,                0.85102,                0.68294,                0.79672,                0.51496,                 1.1029,                 0.6847,                  1.041,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2087,                0.75939,                  1.044,                0.84697,                0.66636,                0.77215,                0.50368,                 1.0876,                0.69893,                 1.0402,               0.001604,               0.001604,               0.001604
                     23,                 1.1876,                 0.7405,                  1.039,                0.86262,                0.71149,                0.81863,                 0.5518,                 1.0343,                0.66408,                 1.0202,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1787,                0.74246,                 1.0336,                0.84921,                0.69424,                0.80595,                0.53452,                 1.0682,                0.67782,                 1.0305,              0.0015644,              0.0015644,              0.0015644
                     25,                  1.172,                0.73192,                 1.0336,                0.86493,                0.67764,                0.79009,                 0.5429,                 1.0315,                0.66253,                 1.0172,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1478,                0.72268,                  1.027,                0.87686,                0.71183,                0.82237,                 0.5561,                 1.0199,                 0.6446,                 1.0111,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1614,                0.71475,                 1.0272,                0.87144,                0.71125,                0.81859,                0.55248,                 1.0103,                0.64726,                 1.0091,               0.001505,               0.001505,               0.001505
                     28,                 1.1546,                0.72399,                 1.0295,                0.86352,                0.70922,                0.81861,                 0.5536,                  1.028,                0.64849,                 1.0136,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1395,                0.71334,                 1.0318,                0.85213,                0.71521,                0.81916,                0.54195,                 1.0468,                0.66609,                 1.0212,              0.0014654,              0.0014654,              0.0014654
                     30,                   1.13,                0.71588,                 1.0172,                0.86244,                0.72729,                0.82656,                0.54703,                  1.055,                0.63952,                 1.0193,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1458,                0.71017,                 1.0246,                0.87128,                0.70866,                0.82301,                0.54783,                 1.0463,                0.64281,                  1.015,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1212,                 0.6902,                 1.0141,                0.87111,                0.70162,                 0.8211,                0.53732,                 1.0449,                0.62983,                 1.0114,               0.001406,               0.001406,               0.001406
                     33,                 1.1242,                0.68817,                 1.0063,                0.88826,                0.71277,                0.83066,                0.57061,                0.99522,                0.62007,                  1.005,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1307,                0.69195,                 1.0119,                0.87386,                0.71594,                 0.8255,                 0.5496,                   1.04,                 0.6407,                 1.0125,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1016,                0.67377,                 1.0073,                0.86684,                0.70517,                0.82007,                0.54896,                 1.0348,                0.65368,                 1.0124,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1138,                0.67979,                 1.0047,                0.87704,                0.72036,                0.83568,                0.57127,                0.99689,                0.61169,                 1.0073,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1016,                0.67051,                 1.0074,                0.86056,                0.73016,                0.83342,                0.54965,                 1.0215,                0.62654,                 1.0031,               0.001307,               0.001307,               0.001307
                     38,                 1.0908,                0.66423,                  1.006,                0.86666,                0.74282,                0.84514,                  0.581,                 0.9833,                0.59631,                0.99859,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1022,                0.67047,                 1.0039,                0.88546,                0.71429,                0.83337,                0.56441,                 1.0034,                0.62455,                 1.0069,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0887,                0.67358,                 1.0034,                0.86916,                0.73083,                0.83913,                0.56713,                  1.006,                0.61426,                 1.0061,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0852,                0.65358,                 1.0002,                0.88166,                0.72712,                0.84129,                 0.5711,                0.99803,                0.60116,                 1.0037,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0743,                0.65013,                 1.0016,                0.88168,                0.72965,                0.84286,                0.56651,                 1.0138,                0.60137,                 1.0041,               0.001208,               0.001208,               0.001208
                     43,                 1.0729,                0.64672,                0.99278,                0.89309,                0.72779,                0.84629,                0.57953,                0.98459,                0.59796,                0.99565,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0818,                0.65216,                 0.9986,                0.89763,                0.72222,                0.84346,                0.56999,                 1.0068,                0.59453,                0.99856,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.058,                0.63462,                0.98578,                0.88183,                0.73472,                0.84344,                0.58169,                0.97185,                0.58353,                0.99783,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0629,                0.63761,                 1.0033,                0.88571,                0.71978,                0.84197,                 0.5635,                  1.023,                0.59953,                 1.0114,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0545,                 0.6436,                0.99302,                0.88738,                0.72205,                0.84133,                0.55543,                 1.0258,                0.59101,                 1.0043,               0.001109,               0.001109,               0.001109
                     48,                 1.0622,                0.63918,                0.99736,                 0.8945,                0.73438,                0.84978,                0.57733,                0.98583,                0.59014,                0.99906,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0376,                0.62995,                0.98366,                0.87675,                0.74485,                0.85075,                 0.5763,                 1.0016,                0.58189,                0.99358,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0559,                0.63816,                0.98486,                0.89614,                0.72661,                0.84735,                0.57182,                 1.0072,                0.58908,                0.99603,              0.0010496,              0.0010496,              0.0010496
